Gender,Age Group_Teenager,Age Group_Young Adult,Race_Other,Race_White,Reactions,Applicant ID,Training,Signals,Yield,Speed Control,Night Drive,Road Signs,Steer Control,Mirror Usage,Confidence,Parking,Theory Test,Qualified
0.0,1.0,0.0,0.0,0.0,2.0,AID0084,Basic,34.57,41.63,7.63,29.69,40.85,46.52,32.7,48.91,45.14,40.53,0
1.0,1.0,0.0,1.0,0.0,0.0,AID0085,Basic,27.95,39.82,37.49,48.59,40.34,34.7,22.15,27.55,51.79,40.1,0
0.0,0.0,0.0,0.0,1.0,0.0,AID0396,,44.77,48.45,18.09,36.98,56.57,34.48,46.02,46.07,30.86,59.63,0
1.0,0.0,1.0,1.0,0.0,2.0,AID0153,Basic,58.48,56.42,46.58,38.1,72.47,55.07,57.32,50.58,45.43,88.82,1
1.0,0.0,1.0,1.0,0.0,0.0,AID0009,,35.59,41.8,45.71,32.72,10.09,34.31,27.35,36.64,31.94,64.57,0
0.0,0.0,1.0,1.0,0.0,2.0,AID0425,Basic,48.3,28.63,50.9,33.04,58.13,32.98,38.34,33.08,53.83,86.28,1
0.0,1.0,0.0,0.0,1.0,2.0,AID0361,Basic,46.29,44.14,33.09,29.18,29.66,37.06,21.85,24.34,53.97,41.97,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0231,,57.04,12.06,24.0,16.69,42.62,22.97,49.74,16.4,27.18,95.45,0
0.0,0.0,0.0,1.0,0.0,2.0,AID0412,,34.61,50.85,55.8,25.91,46.89,19.94,16.81,44.78,47.9,64.43,0
0.0,0.0,1.0,0.0,0.0,1.0,AID0500,Basic,47.38,67.98,44.9,47.17,44.44,52.28,55.87,54.5,53.95,77.07,0
1.0,0.0,0.0,1.0,0.0,2.0,AID0022,Basic,66.78,63.5,78.15,39.35,49.95,58.76,46.6,46.42,61.99,68.36,1
0.0,0.0,0.0,0.0,1.0,0.0,AID0283,Basic,55.35,56.29,45.61,58.28,50.38,46.45,60.55,63.63,57.54,82.41,0
0.0,0.0,1.0,1.0,0.0,2.0,AID0329,Basic,68.13,45.58,50.34,51.72,53.43,55.54,59.24,53.07,54.92,45.2,0
1.0,0.0,1.0,0.0,1.0,0.0,AID0346,Advanced,40.96,46.86,60.6,57.11,54.3,43.66,56.65,63.86,78.65,59.7,1
1.0,0.0,0.0,0.0,0.0,1.0,AID0426,Basic,59.81,34.72,52.18,54.34,48.23,47.03,64.78,65.04,65.29,64.69,1
0.0,0.0,0.0,0.0,0.0,1.0,AID0024,Basic,45.04,63.98,63.96,58.26,60.34,67.29,61.23,66.53,58.08,92.22,1
1.0,0.0,1.0,0.0,1.0,2.0,AID0230,Advanced,54.07,44.66,76.85,51.8,66.17,49.78,90.77,65.43,48.0,71.39,1
1.0,0.0,1.0,0.0,1.0,1.0,AID0460,Basic,40.95,49.48,55.86,36.55,68.07,45.48,47.11,33.68,44.6,56.3,0
0.0,0.0,1.0,0.0,1.0,0.0,AID0484,Advanced,57.81,57.13,53.28,65.02,67.5,45.98,60.22,53.56,65.32,56.6,0
1.0,0.0,1.0,1.0,0.0,1.0,AID0464,,27.98,25.67,44.37,50.72,55.13,55.34,41.63,37.93,41.09,77.86,0
1.0,0.0,0.0,0.0,0.0,1.0,AID0139,,47.15,22.97,28.63,41.64,41.08,43.97,27.09,38.61,40.07,81.36,0
0.0,0.0,0.0,1.0,0.0,2.0,AID0274,Advanced,71.26,62.29,61.81,66.15,58.19,55.38,66.09,70.16,53.87,77.25,1
0.0,0.0,1.0,1.0,0.0,2.0,AID0450,Advanced,56.52,62.92,50.42,57.19,75.88,68.13,59.25,80.76,76.61,73.34,1
0.0,0.0,1.0,1.0,0.0,1.0,AID0336,Basic,58.92,65.96,50.08,53.56,55.9,63.57,45.67,31.58,64.53,52.77,1
1.0,0.0,1.0,0.0,1.0,1.0,AID0363,Basic,49.66,65.42,44.7,63.64,65.95,64.49,50.52,55.53,52.86,93.12,1
0.0,1.0,0.0,0.0,0.0,1.0,AID0340,Advanced,41.38,65.2,44.52,54.96,47.03,52.42,60.09,44.44,41.85,64.71,1
0.0,0.0,1.0,0.0,0.0,1.0,AID0174,Advanced,45.9,60.54,55.58,56.73,68.85,67.63,68.26,50.32,68.8,42.93,1
0.0,0.0,1.0,0.0,1.0,1.0,AID0453,Basic,63.23,60.18,31.67,38.36,51.69,55.9,47.3,40.82,54.57,96.16,0
1.0,0.0,1.0,0.0,1.0,0.0,AID0292,,38.34,34.07,27.24,54.66,14.15,31.95,47.57,46.05,45.28,61.21,0
1.0,0.0,0.0,0.0,1.0,1.0,AID0134,Basic,48.76,53.7,62.46,66.09,67.37,54.31,52.56,49.86,68.66,69.34,1
0.0,0.0,1.0,0.0,1.0,1.0,AID0241,,9.62,21.47,51.26,22.31,36.44,8.67,4.46,49.96,52.3,89.77,0
0.0,0.0,0.0,0.0,1.0,0.0,AID0282,Basic,44.78,57.68,51.09,52.19,52.61,76.04,64.13,42.44,62.82,86.16,0
1.0,1.0,0.0,1.0,0.0,2.0,AID0248,Advanced,38.03,61.23,48.85,59.51,64.03,25.52,41.01,48.87,58.31,90.02,0
1.0,0.0,1.0,0.0,0.0,1.0,AID0110,Basic,53.56,56.34,57.72,61.4,53.13,51.76,46.16,64.84,40.44,89.63,0
1.0,1.0,0.0,1.0,0.0,2.0,AID0341,,24.42,0.0,10.26,11.86,29.75,11.57,23.81,25.12,32.8,44.4,0
1.0,0.0,0.0,0.0,0.0,1.0,AID0189,,40.44,61.73,33.84,22.97,26.88,47.81,31.9,54.56,71.02,46.85,0
1.0,0.0,1.0,0.0,0.0,1.0,AID0032,Advanced,53.64,70.99,62.2,63.99,48.86,63.67,52.38,55.81,54.7,92.58,1
1.0,1.0,0.0,1.0,0.0,1.0,AID0036,,41.27,43.47,0.0,34.34,15.52,34.55,42.72,24.29,7.74,55.47,0
1.0,0.0,0.0,0.0,0.0,1.0,AID0369,,41.73,27.64,45.22,31.64,34.41,24.5,38.16,46.78,41.43,46.21,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0099,,29.39,29.56,36.34,60.7,31.72,51.93,44.64,48.39,57.88,91.08,0
1.0,0.0,1.0,1.0,0.0,2.0,AID0389,,69.69,30.14,67.95,29.91,36.0,23.96,24.27,45.68,28.76,43.6,0
0.0,0.0,0.0,0.0,0.0,0.0,AID0056,Basic,55.71,58.42,57.29,52.62,50.48,57.87,55.28,60.11,60.93,73.9,1
0.0,0.0,1.0,0.0,0.0,0.0,AID0374,Basic,57.84,30.87,38.43,44.32,51.88,37.75,38.88,49.94,52.09,68.28,1
0.0,1.0,0.0,0.0,0.0,0.0,AID0207,,40.32,47.3,26.3,11.96,11.6,17.11,28.34,15.18,32.75,47.75,0
0.0,0.0,0.0,0.0,0.0,2.0,AID0129,Advanced,61.55,74.13,57.85,46.44,60.77,55.88,69.32,58.08,88.36,50.31,1
0.0,0.0,1.0,0.0,1.0,0.0,AID0111,Advanced,57.82,67.22,55.68,65.23,55.69,73.99,54.44,62.82,46.85,89.03,1
0.0,0.0,1.0,1.0,0.0,1.0,AID0097,Advanced,67.57,56.12,62.27,67.7,44.53,64.97,76.53,70.49,57.4,88.37,1
0.0,1.0,0.0,0.0,0.0,2.0,AID0223,Basic,41.04,45.53,59.33,41.17,52.52,39.66,49.29,45.78,57.5,99.36,0
1.0,0.0,0.0,1.0,0.0,1.0,AID0186,Basic,32.82,51.45,53.12,39.96,36.51,58.34,58.78,58.01,48.73,49.14,1
0.0,0.0,1.0,0.0,0.0,2.0,AID0066,,34.15,42.26,47.21,36.88,8.55,49.63,42.64,38.13,24.94,41.43,0
0.0,0.0,1.0,1.0,0.0,2.0,AID0267,,20.0,43.49,33.94,42.32,23.34,23.84,25.66,37.45,30.7,73.27,0
1.0,0.0,1.0,0.0,1.0,2.0,AID0443,Advanced,83.73,67.26,65.08,64.21,56.88,78.72,57.38,69.17,55.97,98.95,1
0.0,0.0,1.0,0.0,0.0,1.0,AID0217,,24.83,23.23,37.2,31.8,30.93,37.61,59.29,31.23,39.22,97.12,0
0.0,0.0,1.0,0.0,0.0,1.0,AID0448,Advanced,56.71,68.26,53.34,60.68,67.27,54.47,58.42,65.59,47.34,99.69,0
0.0,0.0,0.0,1.0,0.0,0.0,AID0197,Basic,75.08,53.06,46.06,58.4,49.44,69.37,72.76,79.57,54.2,59.47,1
0.0,0.0,0.0,0.0,0.0,1.0,AID0399,Advanced,76.85,66.74,53.97,65.78,72.96,77.25,72.67,76.36,57.39,51.01,1
0.0,0.0,1.0,0.0,1.0,0.0,AID0071,Advanced,75.6,74.63,77.45,63.66,59.4,59.54,45.87,47.38,74.17,63.33,1
0.0,0.0,0.0,0.0,1.0,1.0,AID0087,,29.25,57.26,22.93,30.18,39.03,26.66,13.36,43.23,34.8,46.09,0
1.0,0.0,0.0,1.0,0.0,1.0,AID0201,Basic,61.68,49.66,35.18,63.74,48.56,40.98,57.82,50.19,67.62,99.21,1
0.0,0.0,0.0,0.0,1.0,1.0,AID0023,Basic,46.14,45.62,49.78,52.47,73.33,54.91,33.42,52.92,65.83,58.64,1
0.0,1.0,0.0,0.0,0.0,0.0,AID0098,Basic,53.4,48.31,21.38,47.75,35.5,50.47,39.46,21.91,42.65,93.31,0
1.0,0.0,1.0,0.0,0.0,0.0,AID0284,Advanced,62.66,51.44,56.02,65.21,67.94,48.21,49.91,54.88,73.11,42.41,1
1.0,0.0,0.0,1.0,0.0,1.0,AID0195,,18.34,31.77,10.06,62.75,22.83,36.43,43.05,36.9,33.65,62.35,0
0.0,1.0,0.0,1.0,0.0,1.0,AID0371,Advanced,45.89,47.21,42.14,44.64,49.18,44.65,40.17,49.06,40.98,63.65,1
1.0,0.0,0.0,1.0,0.0,1.0,AID0204,,47.11,57.79,18.51,38.98,20.6,34.72,34.29,46.95,23.39,65.41,0
1.0,0.0,1.0,0.0,0.0,2.0,AID0161,Advanced,68.7,50.68,69.99,53.79,74.23,79.8,69.36,49.2,49.97,68.55,1
1.0,0.0,0.0,0.0,1.0,1.0,AID0239,Basic,61.03,56.12,48.45,57.51,50.61,71.62,80.8,60.14,75.22,57.89,1
1.0,0.0,1.0,1.0,0.0,2.0,AID0242,Advanced,50.86,44.67,56.09,64.8,45.41,63.97,77.27,83.75,70.21,90.19,1
0.0,0.0,0.0,0.0,1.0,1.0,AID0259,Basic,42.74,44.89,62.53,36.35,53.66,44.61,62.92,67.69,56.35,43.78,1
0.0,0.0,0.0,1.0,0.0,0.0,AID0474,,48.13,36.65,40.14,26.8,53.49,41.04,44.38,35.8,70.7,62.87,0
0.0,0.0,1.0,1.0,0.0,0.0,AID0278,Basic,48.94,66.48,72.77,45.94,40.04,76.22,52.16,48.19,82.43,72.3,1
0.0,0.0,0.0,1.0,0.0,1.0,AID0470,Basic,70.14,56.13,52.03,58.33,55.28,59.14,71.81,43.07,62.83,81.87,0
1.0,1.0,0.0,0.0,1.0,2.0,AID0416,Basic,31.56,55.74,47.21,32.35,34.07,53.06,46.31,44.31,33.51,42.5,0
1.0,0.0,0.0,0.0,1.0,1.0,AID0286,Advanced,65.16,69.28,82.88,76.23,58.59,68.01,72.88,78.99,64.83,45.3,1
1.0,0.0,1.0,1.0,0.0,1.0,AID0008,Basic,28.47,31.45,58.16,61.68,46.11,50.7,42.56,38.97,31.64,92.37,1
0.0,0.0,1.0,1.0,0.0,2.0,AID0103,Basic,47.77,52.05,51.28,47.98,35.1,55.32,72.8,52.44,50.51,42.41,1
0.0,0.0,1.0,1.0,0.0,1.0,AID0035,Advanced,64.4,56.27,59.61,65.55,55.81,42.55,33.56,47.63,60.49,44.64,1
1.0,1.0,0.0,1.0,0.0,0.0,AID0256,Basic,13.63,22.14,20.46,45.6,46.59,42.0,33.96,49.56,61.69,43.12,0
1.0,0.0,1.0,0.0,0.0,1.0,AID0318,,21.5,29.61,8.79,42.42,39.85,23.24,26.61,20.32,33.72,86.41,0
0.0,0.0,0.0,0.0,0.0,1.0,AID0435,Basic,55.04,60.43,61.13,50.65,47.99,52.15,64.52,59.93,55.53,48.44,0
0.0,0.0,1.0,0.0,0.0,1.0,AID0432,Basic,52.02,56.71,49.54,44.94,60.3,49.55,42.16,54.0,52.48,60.12,1
0.0,0.0,1.0,0.0,1.0,2.0,AID0143,,21.0,24.99,17.97,40.62,42.28,38.53,13.76,34.78,56.89,44.18,0
0.0,0.0,1.0,0.0,0.0,2.0,AID0091,Advanced,59.3,41.64,68.06,54.74,68.6,53.65,58.35,89.44,65.68,95.72,1
1.0,1.0,0.0,0.0,0.0,0.0,AID0343,,8.66,20.33,24.67,33.8,26.84,26.02,39.46,26.21,10.09,42.4,0
1.0,0.0,1.0,1.0,0.0,0.0,AID0048,Advanced,88.5,47.01,61.39,55.42,58.35,53.91,65.13,70.06,57.21,43.67,1
1.0,0.0,0.0,1.0,0.0,2.0,AID0159,Advanced,66.07,67.57,65.39,79.08,60.81,70.15,70.31,48.38,61.82,45.05,1
0.0,0.0,1.0,0.0,0.0,1.0,AID0077,Advanced,70.48,67.47,50.94,84.48,40.14,57.32,62.93,69.19,53.14,82.09,1
1.0,0.0,1.0,0.0,1.0,1.0,AID0301,Advanced,71.77,61.47,55.75,55.42,59.5,46.76,51.45,51.2,43.26,60.92,1
1.0,0.0,1.0,0.0,1.0,2.0,AID0388,Basic,49.61,48.7,45.62,52.42,56.08,46.93,40.54,59.55,64.07,98.95,1
1.0,0.0,0.0,0.0,1.0,0.0,AID0332,,24.4,38.62,32.44,47.67,21.08,22.66,51.23,39.65,25.37,71.44,0
1.0,0.0,0.0,0.0,0.0,2.0,AID0322,,35.57,50.57,22.94,41.31,41.92,32.47,31.4,73.26,68.73,60.43,0
0.0,0.0,1.0,0.0,0.0,2.0,AID0049,,42.35,29.22,29.03,35.73,23.23,43.54,30.14,49.69,38.62,69.36,0
0.0,0.0,1.0,1.0,0.0,2.0,AID0368,Advanced,52.87,41.24,70.98,48.0,56.42,48.73,43.16,45.46,48.29,85.43,1
1.0,1.0,0.0,1.0,0.0,1.0,AID0433,,23.81,31.82,39.81,33.07,27.81,42.29,48.88,22.96,49.02,99.13,0
0.0,0.0,1.0,0.0,0.0,2.0,AID0167,Advanced,85.73,44.34,50.45,57.75,59.74,57.66,70.03,55.99,64.3,53.59,1
0.0,0.0,1.0,0.0,0.0,1.0,AID0271,,40.45,39.01,31.3,28.79,57.03,31.93,34.85,49.12,21.66,76.78,0
1.0,1.0,0.0,0.0,0.0,1.0,AID0122,Basic,41.72,35.31,39.5,18.69,34.5,29.82,38.43,42.53,47.63,52.57,0
1.0,0.0,0.0,0.0,0.0,0.0,AID0466,,33.22,26.5,50.41,33.67,50.07,46.41,50.14,23.58,39.89,82.52,0
0.0,1.0,0.0,1.0,0.0,2.0,AID0351,Basic,26.18,36.59,47.98,52.33,20.99,60.41,46.73,53.56,40.78,82.94,0
0.0,0.0,0.0,0.0,1.0,1.0,AID0043,,37.96,28.33,25.68,45.69,60.11,33.39,61.42,34.3,67.27,67.53,0
0.0,0.0,1.0,0.0,1.0,1.0,AID0457,,23.4,23.16,35.4,40.38,36.56,44.82,34.01,23.55,32.32,49.36,0
1.0,0.0,1.0,0.0,1.0,2.0,AID0306,Advanced,56.44,57.64,84.5,71.91,63.17,61.06,50.63,57.56,79.9,97.39,1
0.0,0.0,1.0,0.0,0.0,1.0,AID0344,,33.59,21.84,21.51,41.47,35.73,39.14,27.71,55.08,32.07,90.11,0
1.0,0.0,1.0,0.0,0.0,1.0,AID0462,Basic,57.4,36.92,52.07,61.08,24.28,26.71,54.49,54.32,39.04,91.18,0
1.0,0.0,1.0,0.0,1.0,1.0,AID0483,Advanced,58.89,69.23,52.91,76.31,62.15,70.51,52.3,65.81,52.09,59.97,1
0.0,0.0,1.0,1.0,0.0,1.0,AID0442,Advanced,52.57,59.68,47.98,56.42,50.87,53.3,49.91,40.21,70.95,61.3,0
0.0,0.0,0.0,0.0,1.0,1.0,AID0072,Basic,36.28,49.67,34.93,47.57,44.17,58.7,47.58,70.47,60.39,47.15,1
1.0,0.0,1.0,0.0,1.0,1.0,AID0142,Basic,58.13,63.2,65.68,53.19,52.79,66.66,63.4,37.43,45.07,81.36,1
0.0,0.0,0.0,1.0,0.0,0.0,AID0029,Advanced,62.07,56.05,58.79,70.72,62.4,74.35,65.5,63.79,64.7,80.38,1
0.0,0.0,1.0,1.0,0.0,1.0,AID0246,Basic,63.46,45.1,57.33,33.9,44.78,39.8,41.53,54.67,54.44,58.24,1
0.0,0.0,0.0,0.0,0.0,2.0,AID0196,,65.9,50.92,45.98,51.95,31.55,44.83,29.46,38.68,33.81,67.46,0
1.0,0.0,1.0,1.0,0.0,1.0,AID0203,Advanced,60.06,58.48,50.54,50.41,84.8,77.38,58.84,65.87,69.2,49.02,1
0.0,0.0,1.0,0.0,1.0,0.0,AID0052,Advanced,65.83,65.41,63.77,60.38,69.25,69.85,56.45,45.13,45.76,44.18,1
1.0,1.0,0.0,1.0,0.0,1.0,AID0005,Advanced,78.52,83.93,59.79,52.68,67.47,89.24,30.31,43.85,55.91,78.44,1
1.0,0.0,1.0,1.0,0.0,1.0,AID0334,Advanced,71.52,67.3,72.92,74.79,79.62,59.88,62.13,51.59,31.89,98.4,1
1.0,1.0,0.0,1.0,0.0,2.0,AID0338,Advanced,45.37,36.09,71.5,43.96,40.03,62.32,55.08,58.91,35.01,73.71,0
1.0,0.0,1.0,0.0,0.0,1.0,AID0148,Basic,70.88,74.26,43.47,47.17,65.86,45.66,39.94,60.21,36.22,40.76,1
1.0,0.0,1.0,0.0,0.0,0.0,AID0277,Basic,35.64,52.33,55.39,54.06,63.16,52.37,47.98,50.39,63.52,97.07,1
0.0,1.0,0.0,0.0,1.0,2.0,AID0090,,50.96,17.86,29.73,33.87,18.79,28.71,7.16,64.68,0.0,93.68,0
1.0,1.0,0.0,1.0,0.0,0.0,AID0244,Advanced,37.96,47.02,35.25,22.11,66.0,39.9,42.55,67.8,60.35,78.7,0
0.0,1.0,0.0,1.0,0.0,2.0,AID0421,,28.29,21.98,30.9,35.67,16.11,31.47,35.92,5.12,12.91,67.07,0
1.0,0.0,0.0,0.0,1.0,2.0,AID0370,Basic,54.98,37.25,59.53,65.5,56.91,35.85,54.9,51.92,58.5,53.87,1
1.0,0.0,0.0,0.0,1.0,1.0,AID0365,,13.14,56.19,30.82,72.48,30.53,30.52,39.94,26.7,33.7,95.95,0
0.0,1.0,0.0,0.0,1.0,1.0,AID0364,Basic,36.04,42.11,26.98,45.45,41.7,49.95,32.64,31.33,45.09,61.7,0
1.0,1.0,0.0,0.0,1.0,2.0,AID0041,Advanced,44.48,51.74,61.35,60.74,54.74,47.78,41.98,39.65,55.75,73.71,1
0.0,1.0,0.0,1.0,0.0,1.0,AID0045,Basic,51.58,29.16,43.92,46.62,52.17,32.95,28.96,31.43,43.57,57.77,1
0.0,0.0,1.0,0.0,1.0,0.0,AID0028,,31.47,43.96,37.81,25.21,21.64,32.86,42.96,29.07,36.45,41.83,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0451,,25.62,42.97,33.11,44.89,46.67,11.78,7.95,43.27,34.69,69.08,0
1.0,0.0,1.0,0.0,1.0,1.0,AID0390,Basic,45.12,46.75,19.98,60.63,34.07,45.29,46.38,52.11,49.19,69.28,1
0.0,0.0,0.0,0.0,0.0,2.0,AID0458,Basic,70.43,42.09,42.46,60.69,65.91,45.87,49.31,52.26,46.15,55.21,1
1.0,1.0,0.0,0.0,0.0,1.0,AID0279,Advanced,38.85,31.34,62.2,54.68,73.76,60.58,75.79,78.91,62.18,80.32,1
1.0,0.0,0.0,0.0,1.0,1.0,AID0064,,40.98,44.12,49.39,22.82,42.08,41.75,45.62,38.96,15.01,91.88,0
0.0,0.0,0.0,0.0,0.0,2.0,AID0461,Basic,66.94,57.86,54.73,57.74,60.41,53.04,55.38,47.07,48.57,86.08,1
1.0,0.0,1.0,0.0,0.0,1.0,AID0359,Basic,54.81,52.54,46.18,70.92,35.03,43.01,42.92,51.0,42.39,42.99,0
1.0,1.0,0.0,1.0,0.0,1.0,AID0173,Advanced,29.91,66.91,50.99,50.61,51.01,55.1,45.0,34.37,39.36,47.59,0
0.0,0.0,0.0,0.0,0.0,2.0,AID0156,Basic,61.09,42.86,71.48,47.94,52.81,51.17,49.54,58.18,56.87,82.29,1
1.0,0.0,1.0,0.0,0.0,0.0,AID0487,Basic,48.12,30.91,50.11,45.75,51.04,38.79,55.55,54.59,47.23,92.76,0
1.0,0.0,1.0,1.0,0.0,1.0,AID0014,Advanced,62.92,52.13,57.03,56.83,47.35,63.33,74.88,62.7,52.64,76.41,1
1.0,0.0,0.0,0.0,0.0,2.0,AID0263,,43.53,24.74,52.36,26.56,56.68,41.16,55.28,35.17,56.67,42.43,0
0.0,1.0,0.0,0.0,1.0,2.0,AID0290,Basic,45.02,34.19,47.09,34.67,26.53,38.93,33.83,26.67,32.97,91.52,0
1.0,1.0,0.0,1.0,0.0,1.0,AID0086,Advanced,46.46,40.14,52.42,42.72,39.47,37.8,49.39,57.45,36.53,45.86,1
0.0,0.0,1.0,0.0,0.0,0.0,AID0092,,39.66,36.23,37.26,44.88,39.57,55.16,53.7,24.9,24.75,98.55,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0436,Basic,55.36,54.17,41.84,44.53,39.66,47.98,47.38,44.26,43.08,53.18,1
0.0,0.0,1.0,0.0,1.0,2.0,AID0145,Basic,53.67,31.25,52.26,51.8,53.14,52.73,62.64,79.85,41.49,86.67,1
1.0,0.0,1.0,0.0,0.0,2.0,AID0392,Basic,47.15,52.03,52.82,44.18,48.61,39.36,44.69,66.04,50.02,49.07,1
0.0,1.0,0.0,1.0,0.0,2.0,AID0190,Basic,50.23,29.23,41.77,32.3,23.0,38.91,33.83,38.25,49.28,54.43,0
1.0,0.0,1.0,0.0,1.0,2.0,AID0155,Basic,47.99,36.73,54.14,39.72,50.07,57.88,67.93,38.62,62.75,70.07,1
1.0,0.0,0.0,0.0,0.0,1.0,AID0378,Advanced,64.22,62.34,39.68,85.21,66.06,78.16,53.65,60.88,79.48,96.51,1
0.0,0.0,0.0,0.0,0.0,1.0,AID0488,Basic,57.72,46.66,48.17,51.02,43.97,51.26,44.23,64.52,40.7,86.75,0
1.0,0.0,1.0,0.0,1.0,0.0,AID0177,,45.88,20.87,52.65,25.33,45.44,50.14,43.27,33.99,16.28,48.9,0
1.0,0.0,0.0,0.0,1.0,2.0,AID0135,Basic,53.46,55.47,56.66,40.2,58.81,49.27,48.57,43.37,51.53,87.88,1
0.0,0.0,1.0,0.0,0.0,2.0,AID0026,,40.66,14.54,31.03,18.13,36.58,56.55,35.67,35.04,50.14,61.15,0
1.0,1.0,0.0,1.0,0.0,1.0,AID0391,Basic,30.25,53.4,40.0,54.99,38.04,53.5,50.79,48.61,36.35,86.44,1
1.0,0.0,0.0,0.0,1.0,2.0,AID0366,,58.97,47.43,38.01,27.01,52.08,32.32,27.86,41.53,45.39,77.84,0
0.0,1.0,0.0,1.0,0.0,0.0,AID0042,,16.73,16.62,51.19,52.5,19.5,28.24,28.32,10.65,16.03,66.0,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0393,,40.61,49.62,24.28,22.52,30.79,43.98,48.17,22.22,32.8,76.69,0
0.0,1.0,0.0,1.0,0.0,0.0,AID0050,,15.79,0.0,27.16,31.17,29.34,15.24,57.18,17.0,43.14,88.8,0
1.0,0.0,0.0,0.0,0.0,0.0,AID0254,,35.1,41.41,28.0,64.31,31.16,49.16,49.6,41.44,56.33,41.9,0
0.0,0.0,1.0,0.0,0.0,2.0,AID0330,Advanced,52.51,48.97,66.86,64.36,72.22,59.77,60.44,86.58,56.95,91.74,1
0.0,0.0,1.0,1.0,0.0,0.0,AID0397,Advanced,55.57,50.98,43.22,63.1,69.84,29.11,38.36,52.76,60.17,59.74,1
0.0,0.0,0.0,1.0,0.0,0.0,AID0076,Advanced,64.03,65.81,59.02,57.32,56.9,68.37,71.66,68.79,74.79,69.31,1
0.0,0.0,0.0,0.0,1.0,0.0,AID0170,,15.41,52.45,33.14,23.74,41.45,35.6,31.44,50.15,16.6,66.28,0
0.0,1.0,0.0,0.0,0.0,1.0,AID0266,Basic,40.71,32.69,35.52,32.07,48.44,52.53,46.98,40.3,21.79,66.27,0
0.0,0.0,1.0,1.0,0.0,1.0,AID0342,,22.87,37.14,33.34,50.98,55.67,27.35,32.69,39.54,18.58,64.31,0
1.0,0.0,1.0,0.0,1.0,1.0,AID0497,Basic,50.68,42.22,34.65,40.9,67.46,56.48,63.35,48.32,45.02,71.93,0
